date,win,lose,probability
Mon Jan 15 2018,Memphis Grizzlies,Los Angeles Lakers,0.81609628683811208
Mon Jan 15 2018,Oklahoma City Thunder,Sacramento Kings,0.86704556369742558
Mon Jan 15 2018,Toronto Raptors,Philadelphia 76ers,0.93817452805407398
Mon Jan 15 2018,Utah Jazz,Indiana Pacers,0.50326930651416435
Mon Jan 15 2018,Washington Wizards,Milwaukee Bucks,0.69224449137229482
Tue Jan 16 2018,Boston Celtics,New Orleans Pelicans,0.80553400640980599
Tue Jan 16 2018,Dallas Mavericks,Denver Nuggets,0.61224791648095611
Tue Jan 16 2018,Orlando Magic,Minnesota Timberwolves,0.56852663245816148
Tue Jan 16 2018,Portland Trail Blazers,Phoenix Suns,0.87251064403327783
Wed Jan 17 2018,Atlanta Hawks,New Orleans Pelicans,0.79766317936550502
Wed Jan 17 2018,San Antonio Spurs,Brooklyn Nets,0.95020380434762519
Wed Jan 17 2018,Golden State Warriors,Chicago Bulls,0.83303558648839859
Wed Jan 17 2018,Charlotte Hornets,Washington Wizards,0.65455337166277172
Wed Jan 17 2018,Los Angeles Clippers,Denver Nuggets,0.80055030792344395
Wed Jan 17 2018,Memphis Grizzlies,New York Knicks,0.65386096719653775
Wed Jan 17 2018,Miami Heat,Milwaukee Bucks,0.72998115130765129
Wed Jan 17 2018,Oklahoma City Thunder,Los Angeles Lakers,0.95367828827611523
Wed Jan 17 2018,Utah Jazz,Sacramento Kings,0.58362971095868299
Wed Jan 17 2018,Toronto Raptors,Detroit Pistons,0.73164278493829482
